"Function","average","connect4.csv","musk.csv","pendigits.csv","spam.csv","testCD.txt","testCDST.txt","testCDST2.txt","testCDST3.txt","testoutrank.txt"
"commute_distance_anomaly",0.00159259259259259,0.00266666666666667,0,0.00266666666666667,0.006,0,0,0,0.003,0
"commute_distance_anomaly>dist",5.03655555555556,38.7186666666667,1.68066666666667,1.785,2.14766666666667,0.098,0.283,0.251666666666667,0.297666666666667,0.0666666666666667
"commute_distance_anomaly>drawGraph",12.4272592592593,80.851,7.89466666666667,9.92466666666667,4.49133333333333,0.685333333333333,2.42033333333333,2.436,2.44566666666667,0.696333333333333
"commute_distance_anomaly>euclidean",5.6512962962963,47.786,0.332333333333333,0.413,2.32733333333333,0,0,0.003,0,0
"commute_distance_anomaly>sim",6.8477037037037,41.8793333333333,5.376,6.73833333333333,3.17766666666667,0.386,1.313,1.25133333333333,1.27766666666667,0.23
"commute_distance_anomaly>sim_d",0.0244814814814815,0.153333333333333,0.016,0.017,0.0283333333333333,0.00266666666666667,0,0,0,0.003
"components",0.00125925925925926,0.00533333333333333,0,0,0.006,0,0,0,0,0
"csvread",0.00196296296296296,0,0,0,0.003,0.00266666666666667,0.006,0,0.003,0.003
"csvwrite",0,0,0,0,0,0,0,0,0,0
"dlmread",0.154851851851852,0.714,0.503,0.065,0.0883333333333333,0.00533333333333333,0.003,0.003,0.006,0.006
"dlmwrite",0.00522222222222222,0.00533333333333333,0.01,0.00833333333333333,0,0.00533333333333333,0.003,0.003,0.003,0.009
"dlmwrite>parseinput",0.000888888888888889,0,0,0.00266666666666667,0,0.00533333333333333,0,0,0,0
"dlmwrite>setcoffset",0,0,0,0,0,0,0,0,0,0
"dlmwrite>setdlm",0,0,0,0,0,0,0,0,0,0
"dlmwrite>setroffset",0,0,0,0,0,0,0,0,0,0
"effective_degrees",0.00037037037037037,0,0.00333333333333333,0,0,0,0,0,0,0
"fcnchk",0.171037037037037,0.232666666666667,0.184,0.158,0.220666666666667,0.141666666666667,0.14,0.144666666666667,0.153333333333333,0.164333333333333
"forest_components (MEX-file)",0.000296296296296296,0.00266666666666667,0,0,0,0,0,0,0,0
"graph2d/private/lineseriesmex (MEX-file)",0.275407407407407,1.579,0.258,0.262666666666667,0.119666666666667,0.019,0.087,0.0693333333333333,0.072,0.012
"graph2dhelper",3.26618518518518,19.3453333333333,2.82533333333333,3.17966666666667,1.38266666666667,0.220333333333333,0.746666666666667,0.823666666666667,0.691333333333333,0.180666666666667
"graphprofile (MEX-file)",0.00125925925925926,0.00266666666666667,0,0.00266666666666667,0,0,0.003,0.003,0,0
"hierarchy",0.0357407407407407,0.140666666666667,0.013,0.123,0.0156666666666667,0.00833333333333333,0.009,0.006,0.006,0
"hold",0.001,0.00266666666666667,0.00333333333333333,0,0,0,0,0,0,0.003
"initprintexporttemplate",0,0,0,0,0,0,0,0,0,0
"int2str",0.00192592592592593,0.00266666666666667,0,0.003,0.006,0.00266666666666667,0,0.003,0,0
"inv_permutation",0,0,0,0,0,0,0,0,0,0
"iscellstr",0.00103703703703704,0,0.00333333333333333,0,0,0,0,0.003,0,0.003
"ismember",0,0,0,0,0,0,0,0,0,0
"ismember>ismemberlegacy",0.00037037037037037,0,0.00333333333333333,0,0,0,0,0,0,0
"kdtree_build (MEX-file)",0.522666666666667,4.15033333333333,0.283666666666667,0.161333333333333,0.0726666666666667,0.00266666666666667,0.009,0.0123333333333333,0.009,0.003
"kdtree_k_nearest_neighbors (MEX-file)",137.792037037037,1185.15466666667,44.3016666666667,2.41,8.13466666666667,0.008,0.047,0.0283333333333333,0.041,0.003
"laplacian",0.000333333333333333,0,0,0,0,0,0,0,0,0.003
"laplacian2 (MEX-file)",0.000296296296296296,0.00266666666666667,0,0,0,0,0,0,0,0
"lineseries",4.86725925925926,28.2136666666667,4.00833333333333,5.03633333333333,2.17,0.413333333333333,1.16266666666667,1.185,1.29666666666667,0.319333333333333
"matlab_bgl-4.0.1/...ate/check_matlab_bgl",0.0297407407407407,0.258666666666667,0,0,0.006,0,0,0,0,0.003
"matlab_bgl-4.0.1/private/components_mex (MEX-file)",0.00266666666666667,0.0186666666666667,0,0.00533333333333333,0,0,0,0,0,0
"matlab_bgl-4.0.1/private/merge_options",0,0,0,0,0,0,0,0,0,0
"matlab_bgl-4.0.1/private/mst_mex (MEX-file)",0.201407407407407,1.72133333333333,0.00666666666666667,0.00566666666666667,0.079,0,0,0,0,0
"mean",0.000888888888888889,0.008,0,0,0,0,0,0,0,0
"message",0.118518518518519,0.140333333333333,0.113,0.093,0.113666666666667,0.149666666666667,0.108666666666667,0.0943333333333333,0.122,0.132
"mst",0,0,0,0,0,0,0,0,0,0
"mx_d_preconditioner (MEX-file)",5.91051851851852,41.1203333333333,2.29666666666667,4.10333333333333,1.85166666666667,0.222333333333333,0.864666666666667,0.782666666666667,0.842666666666667,1.11033333333333
"newplot",9.46933333333333,55.365,7.82733333333333,9.372,4.239,0.644666666666667,2.48133333333333,2.471,2.27666666666667,0.547
"newplot>ObserveAxesNextPlot",5.41859259259259,31.4393333333333,4.73066666666667,5.566,2.469,0.369666666666667,1.22266666666667,1.33933333333333,1.331,0.299666666666667
"newplot>ObserveFigureNextPlot",3.34211111111111,19.625,2.676,3.443,1.58133333333333,0.234666666666667,0.793666666666667,0.820666666666667,0.73,0.174666666666667
"num2str",0.000296296296296296,0.00266666666666667,0,0,0,0,0,0,0,0
"num2str>convertUsingRecycledSprintf",0.0012962962962963,0.00266666666666667,0,0,0,0,0.003,0.003,0.003,0
"num2str>handleNumericPrecision",0.000333333333333333,0,0,0,0,0,0,0,0.003,0
"pcg",8.29196296296296,40.379,6.79133333333333,8.11,7.51733333333333,1.53433333333333,1.59433333333333,1.47133333333333,1.50966666666667,5.72033333333333
"princomp",0.235592592592593,0.625,0.927,0.017,0.551333333333333,0,0,0,0,0
"process_hierarchy",0.000925925925925926,0.00533333333333333,0,0,0,0,0,0.003,0,0
"process_sparse_matrix",0.00481481481481481,0.0186666666666667,0.00666666666666667,0,0.003,0,0.006,0.003,0.003,0.003
"randsrc",1.26251851851852,10.034,0.164333333333333,0.198,0.28,0.0216666666666667,0.174,0.182333333333333,0.287,0.0213333333333333
"randsrc>@(a,b)rand(a,b)",0.118666666666667,0.707666666666667,0.071,0.0876666666666667,0.069,0.008,0.0343333333333333,0.0406666666666667,0.0406666666666667,0.009
"randsrc>create@(a,b)rand(a,b)",0.000592592592592593,0.00266666666666667,0,0,0,0.00266666666666667,0,0,0,0
"repmat",0.00322222222222222,0.00533333333333333,0,0,0.006,0.00266666666666667,0.003,0.003,0.003,0.006
"scribe/private/getplotmanager",2.4062962962963,14.1643333333333,1.84466666666667,2.389,1.10866666666667,0.152333333333333,0.573,0.572333333333333,0.689666666666667,0.162666666666667
"set_matlab_bgl_default",0,0,0,0,0,0,0,0,0,0
"setdiff",0,0,0,0,0,0,0,0,0,0
"setdiff>setdifflegacy",0.000333333333333333,0,0,0,0,0,0,0,0.003,0
"sortrows",0.000296296296296296,0.00266666666666667,0,0,0,0,0,0,0,0
"sortrows>sort_back_to_front",0.0296296296296296,0.198,0.019,0.031,0.0156666666666667,0,0,0.003,0,0
"sparfun/private/iterapp",3.69681481481481,19.4576666666667,1.96433333333333,2.89866666666667,1.962,0.786666666666667,0.988,0.873666666666667,1.018,3.32233333333333
"sparfun/private/iterchk",0.0797777777777778,0.0846666666666667,0.0773333333333333,0.0763333333333333,0.0973333333333333,0.0626666666666667,0.0716666666666667,0.0596666666666667,0.094,0.0943333333333333
"sparfun/private/itermsg",0.0871111111111111,0.0876666666666667,0.087,0.0566666666666667,0.0696666666666667,0.114666666666667,0.0806666666666667,0.091,0.0686666666666667,0.128
"sparfun/private/itermsg>getIterationInfo",0.0632592592592593,0.0373333333333333,0.058,0.062,0.041,0.0703333333333333,0.062,0.0816666666666667,0.047,0.11
"splitforest (MEX-file)",0.000592592592592593,0.00533333333333333,0,0,0,0,0,0,0,0
"steiner_group",0.00222222222222222,0.008,0.00333333333333333,0,0,0.00266666666666667,0,0.003,0.003,0
"unique",0.00577777777777778,0.008,0.00333333333333333,0.00566666666666667,0.006,0.008,0.003,0.003,0.003,0.012
"unique>uniquelegacy",0.0215925925925926,0.0583333333333333,0.013,0.0196666666666667,0.0156666666666667,0.016,0.025,0.0123333333333333,0.019,0.0153333333333333
"update_groups (MEX-file)",0.000888888888888889,0.008,0,0,0,0,0,0,0,0
