Data set,Iteration,Function Name,Calls,Total Time,Self Time
"connect4.csv","average","matlab_bgl-4.0.1/...ate/check_matlab_bgl",2,0.2801,0.2801
"connect4.csv","average","matlab_bgl-4.0.1/private/components_mex (MEX-file)",1,0.0206,0.0206
"connect4.csv","average","matlab_bgl-4.0.1/private/merge_options",1,0.001,0.001
"connect4.csv","average","matlab_bgl-4.0.1/private/mst_mex (MEX-file)",1,1.9952,1.9952
"connect4.csv","average","mean",67582,5.1011,5.1011
"connect4.csv","average","message",600,0.1767,0.1767
"connect4.csv","average","mst",1,2.2773,0.001
"connect4.csv","average","mx_d_preconditioner (MEX-file)",6683.6,49.7018,49.7018
"connect4.csv","average","newplot",229041,138.9713,71.9966
"connect4.csv","average","newplot>ObserveAxesNextPlot",229041,42.9637,42.9637
"connect4.csv","average","newplot>ObserveFigureNextPlot",229041,24.0111,24.0111
"connect4.csv","average","num2str",2,0.004,0.002
"connect4.csv","average","num2str>convertUsingRecycledSprintf",2,0.002,0.002
"connect4.csv","average","num2str>handleNumericPrecision",2,0.002,0
"connect4.csv","average","pcg",200,119.3765,43.4746
"connect4.csv","average","princomp",1,0.4807,0.4749
"connect4.csv","average","process_hierarchy",1,0.0548,0.003
"connect4.csv","average","process_sparse_matrix",9,0.0556,0.0361
"connect4.csv","average","randsrc",1,6.0717,5.2649
"connect4.csv","average","randsrc>@(a,b)rand(a,b)",1,0.8069,0.8069
"connect4.csv","average","randsrc>create@(a,b)rand(a,b)",1,0,0
"connect4.csv","average","repmat",2,0.002,0.002
"connect4.csv","average","scribe/private/getplotmanager",229041,16.8539,16.8539
"connect4.csv","average","set_matlab_bgl_default",2,0,0
"connect4.csv","average","setdiff",1,0.0187,0
"connect4.csv","average","setdiff>setdifflegacy",1,0.0187,0.001
"connect4.csv","average","sortrows",1,0.1961,0.008
"connect4.csv","average","sortrows>sort_back_to_front",1,0.1883,0.1883
"connect4.csv","average","sparfun/private/iterapp",13767.2,75.1664,24.4663
"connect4.csv","average","sparfun/private/iterchk",400,0.4742,0.12
"connect4.csv","average","sparfun/private/itermsg",200,0.2614,0.1062
"connect4.csv","average","sparfun/private/itermsg>getIterationInfo",200,0.1121,0.0643
"connect4.csv","average","splitforest (MEX-file)",6,0.0099,0.0099
"connect4.csv","average","steiner_group",6,0.0291,0.0099
"connect4.csv","average","unique",11,0.2627,0.0089
"connect4.csv","average","unique>uniquelegacy",11,0.2538,0.0575
"connect4.csv","average","update_groups (MEX-file)",6,0.008,0.008
"musk.csv","average","...-4.0.1/private/get_matlab_bgl_options",2,0.001,0.001
"musk.csv","average","...aly>TopN_Outlier_Pruning_Block_CTD_ST",1,1400.1416,0.017
"musk.csv","average","...ce_anomaly>TopN_Outlier_Pruning_Block",1,1387.4626,1179.4173
"musk.csv","average","...d>create@(b)mx_d_preconditioner(sH,b)",1,0,0
"musk.csv","average","...istance_anomaly>knn_components_sparse",1,84.5218,30.9457
"musk.csv","average","...stance_anomaly>connect_components_MST",1,0.6245,0.012
"musk.csv","average","...stance_anomaly>connect_components_mix",1,0.6483,0.022
"musk.csv","average","PCADR",1,2.3804,0.001
"musk.csv","average","adjacency_cmg (MEX-file)",5,0,0
"musk.csv","average","approx_resistance",1,12.662,0.1469
"musk.csv","average","axescheck",2,0,0
"musk.csv","average","axis",1,0.002,0
"musk.csv","average","axis>LocSetEqual",1,0.002,0.002
"musk.csv","average","axis>allAxes",1,0,0
"musk.csv","average","cell.ismember",1,0.018,0.003
"musk.csv","average","cell.ismember>cellismemberlegacy",1,0.015,0.007
"musk.csv","average","cell.strcat",1,0,0
"musk.csv","average","cellstr",1,0,0
"musk.csv","average","cholGsparse",1,0.046,0.046
"musk.csv","average","cmg_dd",1,0.0966,0.002
"musk.csv","average","cmg_dd>@(b)mx_d_preconditioner(sH,b)",2489,3.5515,0.3301
"musk.csv","average","cmg_sdd",1,0.0996,0.003
"musk.csv","average","commute_distance_anomaly",1,1521.8937,0.001
"musk.csv","average","commute_distance_anomaly>dist",8409755.3,209.0801,209.0801
"musk.csv","average","commute_distance_anomaly>drawGraph",1,33.6658,9.246
"musk.csv","average","commute_distance_anomaly>euclidean",1,0.5875,0.3569
"musk.csv","average","commute_distance_anomaly>sim",65980,6.0176,4.735
"musk.csv","average","commute_distance_anomaly>sim_d",159,0.016,0.016
"musk.csv","average","components",1,0.002,0
"musk.csv","average","csvread",1,0.5032,0.002
"musk.csv","average","csvwrite",1,0.032,0
"musk.csv","average","dlmread",1,0.5013,0.4854
"musk.csv","average","dlmwrite",1,0.032,0.014
"musk.csv","average","dlmwrite>parseinput",1,0.018,0
"musk.csv","average","dlmwrite>setcoffset",1,0,0
"musk.csv","average","dlmwrite>setdlm",1,0,0
"musk.csv","average","dlmwrite>setroffset",1,0,0
"musk.csv","average","effective_degrees",3,0.001,0.001
"musk.csv","average","fcnchk",400,0.2844,0.2127
"musk.csv","average","forest_components (MEX-file)",3,0,0
"musk.csv","average","graph2d/private/lineseriesmex (MEX-file)",25149,0.2169,0.2169
"musk.csv","average","graph2dhelper",25149,4.4207,2.5218
"musk.csv","average","graphprofile (MEX-file)",3,0.001,0.001
"musk.csv","average","hierarchy",1,0.0689,0.016
"musk.csv","average","hold",2,0.005,0.005
"musk.csv","average","initprintexporttemplate",1,0,0
"musk.csv","average","int2str",2,0.002,0.002
"musk.csv","average","inv_permutation",1,0,0
"musk.csv","average","iscellstr",2,0,0
"musk.csv","average","ismember",2,0.008,0.001
"musk.csv","average","ismember>ismemberlegacy",2,0.007,0
"musk.csv","average","kdtree_build (MEX-file)",1,0.2994,0.2994
"musk.csv","average","kdtree_k_nearest_neighbors (MEX-file)",6598,47.2292,47.2292
"musk.csv","average","laplacian2 (MEX-file)",1,0,0
"musk.csv","average","lineseries",25149,8.8438,4.2062
"musk.csv","average","matlab_bgl-4.0.1/...ate/check_matlab_bgl",2,0.001,0.001
"musk.csv","average","matlab_bgl-4.0.1/private/components_mex (MEX-file)",1,0.002,0.002
"musk.csv","average","matlab_bgl-4.0.1/private/merge_options",1,0,0
"musk.csv","average","matlab_bgl-4.0.1/private/mst_mex (MEX-file)",1,0.007,0.007
"musk.csv","average","mean",6623,0.4812,0.4812
"musk.csv","average","message",600,0.159,0.159
"musk.csv","average","mst",1,0.009,0
"musk.csv","average","mx_d_preconditioner (MEX-file)",2489,3.2213,3.2213
"musk.csv","average","newplot",25149,15.567,8.1374
"musk.csv","average","newplot>ObserveAxesNextPlot",25149,4.6267,4.6267
"musk.csv","average","newplot>ObserveFigureNextPlot",25149,2.8028,2.8028
"musk.csv","average","num2str",2,0,0
"musk.csv","average","num2str>convertUsingRecycledSprintf",2,0,0
"musk.csv","average","num2str>handleNumericPrecision",2,0,0
"musk.csv","average","pcg",200,11.793,5.4944
"musk.csv","average","princomp",1,2.3794,2.3764
"musk.csv","average","process_hierarchy",1,0.0259,0.002
"musk.csv","average","process_sparse_matrix",6,0.0259,0.0179
"musk.csv","average","randsrc",1,0.6224,0.5429
"musk.csv","average","randsrc>@(a,b)rand(a,b)",1,0.0798,0.0798
"musk.csv","average","randsrc>create@(a,b)rand(a,b)",1,0,0
"musk.csv","average","repmat",2,0.007,0.007
"musk.csv","average","scribe/private/getplotmanager",25149,1.8992,1.8992
"musk.csv","average","set_matlab_bgl_default",2,0,0
"musk.csv","average","setdiff",1,0.016,0
"musk.csv","average","setdiff>setdifflegacy",1,0.016,0
"musk.csv","average","sortrows",1,0.027,0
"musk.csv","average","sortrows>sort_back_to_front",1,0.027,0.027
"musk.csv","average","sparfun/private/iterapp",5378,5.6693,2.1178
"musk.csv","average","sparfun/private/iterchk",400,0.3739,0.0896
"musk.csv","average","sparfun/private/itermsg",200,0.2556,0.1005
"musk.csv","average","sparfun/private/itermsg>getIterationInfo",200,0.1152,0.0678
"musk.csv","average","splitforest (MEX-file)",3,0,0
"musk.csv","average","steiner_group",3,0.004,0.001
"musk.csv","average","unique",8,0.0538,0.007
"musk.csv","average","unique>uniquelegacy",8,0.0468,0.02
"musk.csv","average","update_groups (MEX-file)",2,0.002,0.002
"pendigits.csv","average","...-4.0.1/private/get_matlab_bgl_options",2,0.001,0
"pendigits.csv","average","...aly>TopN_Outlier_Pruning_Block_CTD_ST",1,1951.2726,0.0294
"pendigits.csv","average","...ce_anomaly>TopN_Outlier_Pruning_Block",1,1930.3799,1793.4331
"pendigits.csv","average","...d>create@(b)mx_d_preconditioner(sH,b)",1,0,0
"pendigits.csv","average","...istance_anomaly>knn_components_sparse",1,121.2652,106.4938
"pendigits.csv","average","...stance_anomaly>connect_components_MST",1,0.7949,0.0216
"pendigits.csv","average","...stance_anomaly>connect_components_mix",1,0.8223,0.0216
"pendigits.csv","average","PCADR",1,0.0314,0.0039
"pendigits.csv","average","adjacency_cmg (MEX-file)",5,0.001,0.001
"pendigits.csv","average","approx_resistance",1,20.8634,0.3363
"pendigits.csv","average","axescheck",2,0.001,0.001
"pendigits.csv","average","axis",1,0.007,0.005
"pendigits.csv","average","axis>LocSetEqual",1,0.002,0.002
"pendigits.csv","average","axis>allAxes",1,0,0
"pendigits.csv","average","cell.ismember",1,0.0315,0.005
"pendigits.csv","average","cell.ismember>cellismemberlegacy",1,0.0265,0.0177
"pendigits.csv","average","cell.strcat",1,0.004,0.003
"pendigits.csv","average","cellstr",1,0.001,0.001
"pendigits.csv","average","cholGsparse",1,0.0656,0.0656
"pendigits.csv","average","cmg_dd",1,0.1789,0.0059
"pendigits.csv","average","cmg_dd>@(b)mx_d_preconditioner(sH,b)",3465.7,6.8458,0.3998
"pendigits.csv","average","cmg_sdd",1,0.1809,0.002
"pendigits.csv","average","commute_distance_anomaly",1,2120.4705,0.0078
"pendigits.csv","average","commute_distance_anomaly>dist",5203394.9,138.3517,138.3517
"pendigits.csv","average","commute_distance_anomaly>drawGraph",1,46.9233,13.0705
"pendigits.csv","average","commute_distance_anomaly>euclidean",1,0.7459,0.4792
"pendigits.csv","average","commute_distance_anomaly>sim",109920,10.0183,8.0171
"pendigits.csv","average","commute_distance_anomaly>sim_d",190,0.0148,0.0148
"pendigits.csv","average","components",1,0.006,0.003
"pendigits.csv","average","csvread",1,0.1007,0.001
"pendigits.csv","average","csvwrite",1,0.043,0
"pendigits.csv","average","datamanager.schema",0.1,0.001,0.001
"pendigits.csv","average","dlmread",1,0.0997,0.0723
"pendigits.csv","average","dlmwrite",1,0.043,0.004
"pendigits.csv","average","dlmwrite>parseinput",1,0.0391,0.0049
"pendigits.csv","average","dlmwrite>setcoffset",1,0.001,0.001
"pendigits.csv","average","dlmwrite>setdlm",1,0.002,0.002
"pendigits.csv","average","dlmwrite>setroffset",1,0,0
"pendigits.csv","average","effective_degrees",3,0,0
"pendigits.csv","average","fcnchk",400,0.3041,0.2483
"pendigits.csv","average","forest_components (MEX-file)",3,0,0
"pendigits.csv","average","graph2d.schema",0.1,0,0
"pendigits.csv","average","graph2d/private/lineseriesmex (MEX-file)",35180.1,0.2972,0.2972
"pendigits.csv","average","graph2dhelper",35180,6.3177,3.5564
"pendigits.csv","average","graphprofile (MEX-file)",3,0,0
"pendigits.csv","average","hierarchy",1,0.1193,0.0352
"pendigits.csv","average","hold",2,0.003,0.002
"pendigits.csv","average","initprintexporttemplate",1,0.001,0.001
"pendigits.csv","average","int2str",2,0.003,0.003
"pendigits.csv","average","inv_permutation",1,0,0
"pendigits.csv","average","iscellstr",2,0.002,0.002
"pendigits.csv","average","ismember",2,0.0109,0.001
"pendigits.csv","average","ismember>ismemberlegacy",2,0.0099,0.0059
"pendigits.csv","average","kdtree_build (MEX-file)",1,0.1758,0.1758
"pendigits.csv","average","kdtree_k_nearest_neighbors (MEX-file)",10992,4.5333,4.5333
"pendigits.csv","average","laplacian2 (MEX-file)",1,0,0
"pendigits.csv","average","lineseries",35180.1,12.2667,5.6517
"pendigits.csv","average","matlab_bgl-4.0.1/...ate/check_matlab_bgl",2,0.001,0.001
"pendigits.csv","average","matlab_bgl-4.0.1/private/components_mex (MEX-file)",1,0.003,0.003
"pendigits.csv","average","matlab_bgl-4.0.1/private/merge_options",1,0,0
"pendigits.csv","average","matlab_bgl-4.0.1/private/mst_mex (MEX-file)",1,0.0109,0.0109
"pendigits.csv","average","mean",11017,0.8634,0.8634
"pendigits.csv","average","message",600,0.1554,0.1554
"pendigits.csv","average","mst",1,0.0129,0
"pendigits.csv","average","mx_d_preconditioner (MEX-file)",3465.7,6.4461,6.4461
"pendigits.csv","average","newplot",35180,21.5676,11.2516
"pendigits.csv","average","newplot>ObserveAxesNextPlot",35180,6.4175,6.4175
"pendigits.csv","average","newplot>ObserveFigureNextPlot",35180,3.8984,3.8984
"pendigits.csv","average","num2str",2,0.004,0.002
"pendigits.csv","average","num2str>convertUsingRecycledSprintf",2,0.001,0.001
"pendigits.csv","average","num2str>handleNumericPrecision",2,0.002,0.001
"pendigits.csv","average","pcg",200,19.4029,8.4183
"pendigits.csv","average","princomp",1,0.0276,0.0276
"pendigits.csv","average","process_hierarchy",1,0.054,0.003
"pendigits.csv","average","process_sparse_matrix",6,0.0568,0.045
"pendigits.csv","average","randsrc",1,0.9434,0.8291
"pendigits.csv","average","randsrc>@(a,b)rand(a,b)",1,0.1144,0.1144
"pendigits.csv","average","randsrc>create@(a,b)rand(a,b)",1,0,0
"pendigits.csv","average","repmat",2,0.004,0.004
"pendigits.csv","average","scribe/private/getplotmanager",35180,2.7614,2.7614
"pendigits.csv","average","set_matlab_bgl_default",2,0.001,0.001
"pendigits.csv","average","setdiff",1,0.0275,0
"pendigits.csv","average","setdiff>setdifflegacy",1,0.0275,0.004
"pendigits.csv","average","sortrows",1,0.0311,0.002
"pendigits.csv","average","sortrows>sort_back_to_front",1,0.0292,0.0292
"pendigits.csv","average","sparfun/private/iterapp",7331.4,10.2775,3.4318
"pendigits.csv","average","sparfun/private/iterchk",400,0.4146,0.1106
"pendigits.csv","average","sparfun/private/itermsg",200,0.2923,0.128
"pendigits.csv","average","sparfun/private/itermsg>getIterationInfo",200,0.1213,0.0643
"pendigits.csv","average","splitforest (MEX-file)",3,0.003,0.003
"pendigits.csv","average","steiner_group",3,0.0117,0.0068
"pendigits.csv","average","unique",8,0.0753,0.0118
"pendigits.csv","average","unique>uniquelegacy",8,0.0636,0.0323
"pendigits.csv","average","update_groups (MEX-file)",3,0.002,0.002
"spam.csv","average","...-4.0.1/private/get_matlab_bgl_options",2,0,0
"spam.csv","average","...aly>TopN_Outlier_Pruning_Block_CTD_ST",1,440.9753,0.014
"spam.csv","average","...ce_anomaly>TopN_Outlier_Pruning_Block",1,427.4817,381.8001
"spam.csv","average","...d>create@(b)mx_d_preconditioner(sH,b)",1,0,0
"spam.csv","average","...istance_anomaly>knn_components_sparse",1,29.3468,15.8283
"spam.csv","average","...stance_anomaly>connect_components_MST",1,4.2465,0.0485
"spam.csv","average","...stance_anomaly>connect_components_mix",1,4.275,0.028
"spam.csv","average","PCADR",1,0.3887,0.0079
"spam.csv","average","adjacency_cmg (MEX-file)",3,0,0
"spam.csv","average","approx_resistance",1,13.4798,0.1353
"spam.csv","average","axescheck",2,0,0
"spam.csv","average","axis",1,0.002,0.001
"spam.csv","average","axis>LocSetEqual",1,0.001,0.001
"spam.csv","average","axis>allAxes",1,0,0
"spam.csv","average","cell.ismember",1,0.019,0.003
"spam.csv","average","cell.ismember>cellismemberlegacy",1,0.016,0.011
"spam.csv","average","cell.strcat",1,0.001,0
"spam.csv","average","cellstr",1,0.001,0.001
"spam.csv","average","cholGsparse",1,0.079,0.079
"spam.csv","average","cmg_dd",1,0.1078,0
"spam.csv","average","cmg_dd>@(b)mx_d_preconditioner(sH,b)",3351.3,2.8393,0.3674
"spam.csv","average","cmg_sdd",1,0.1107,0.003
"spam.csv","average","commute_distance_anomaly",1,494.0922,0.005
"spam.csv","average","commute_distance_anomaly>dist",1979199.8,47.5984,47.5984
"spam.csv","average","commute_distance_anomaly>drawGraph",1,18.958,4.917
"spam.csv","average","commute_distance_anomaly>euclidean",1,4.0785,2.5439
"spam.csv","average","commute_distance_anomaly>sim",46010,3.7427,3.013
"spam.csv","average","commute_distance_anomaly>sim_d",435,0.0327,0.0327
"spam.csv","average","components",1,0.001,0
"spam.csv","average","csvread",1,0.1157,0.002
"spam.csv","average","csvwrite",1,0.027,0
"spam.csv","average","dlmread",1,0.1137,0.09
"spam.csv","average","dlmwrite",1,0.027,0.007
"spam.csv","average","dlmwrite>parseinput",1,0.02,0.001
"spam.csv","average","dlmwrite>setcoffset",1,0,0
"spam.csv","average","dlmwrite>setdlm",1,0,0
"spam.csv","average","dlmwrite>setroffset",1,0,0
"spam.csv","average","effective_degrees",2,0,0
"spam.csv","average","fcnchk",400,0.227,0.1799
"spam.csv","average","forest_components (MEX-file)",2,0,0
"spam.csv","average","graph2d/private/lineseriesmex (MEX-file)",14354,0.1263,0.1263
"spam.csv","average","graph2dhelper",14354,2.6091,1.4882
"spam.csv","average","graphprofile (MEX-file)",2,0.001,0.001
"spam.csv","average","hierarchy",1,0.0969,0.013
"spam.csv","average","hold",2,0,0
"spam.csv","average","initprintexporttemplate",1,0,0
"spam.csv","average","int2str",2,0.002,0.002
"spam.csv","average","inv_permutation",1,0,0
"spam.csv","average","iscellstr",2,0,0
"spam.csv","average","ismember",2,0.005,0
"spam.csv","average","ismember>ismemberlegacy",2,0.005,0
"spam.csv","average","kdtree_build (MEX-file)",1,0.072,0.072
"spam.csv","average","kdtree_k_nearest_neighbors (MEX-file)",4601,9.6887,9.6887
"spam.csv","average","laplacian2 (MEX-file)",1,0,0
"spam.csv","average","lineseries",14354,5.1224,2.3869
"spam.csv","average","matlab_bgl-4.0.1/...ate/check_matlab_bgl",2,0.007,0.007
"spam.csv","average","matlab_bgl-4.0.1/private/components_mex (MEX-file)",1,0.001,0.001
"spam.csv","average","matlab_bgl-4.0.1/private/merge_options",1,0,0
"spam.csv","average","matlab_bgl-4.0.1/private/mst_mex (MEX-file)",1,0.079,0.079
"spam.csv","average","mean",4626,0.3476,0.3476
"spam.csv","average","message",600,0.1167,0.1167
"spam.csv","average","mst",1,0.087,0.001
"spam.csv","average","mx_d_preconditioner (MEX-file)",3351.3,2.4719,2.4719
"spam.csv","average","newplot",14354,8.9147,4.6514
"spam.csv","average","newplot>ObserveAxesNextPlot",14354,2.6426,2.6426
"spam.csv","average","newplot>ObserveFigureNextPlot",14354,1.6206,1.6206
"spam.csv","average","num2str",2,0,0
"spam.csv","average","num2str>convertUsingRecycledSprintf",2,0,0
"spam.csv","average","num2str>handleNumericPrecision",2,0,0
"spam.csv","average","pcg",200,12.9002,7.4626
"spam.csv","average","princomp",1,0.3809,0.3809
"spam.csv","average","process_hierarchy",1,0.011,0.001
"spam.csv","average","process_sparse_matrix",5,0.012,0.005
"spam.csv","average","randsrc",1,0.3339,0.2785
"spam.csv","average","randsrc>@(a,b)rand(a,b)",1,0.0551,0.0551
"spam.csv","average","randsrc>create@(a,b)rand(a,b)",1,0,0
"spam.csv","average","repmat",2,0.005,0.005
"spam.csv","average","scribe/private/getplotmanager",14354,1.1208,1.1208
"spam.csv","average","set_matlab_bgl_default",2,0,0
"spam.csv","average","setdiff",1,0.024,0
"spam.csv","average","setdiff>setdifflegacy",1,0.024,0.001
"spam.csv","average","sortrows",1,0.011,0.001
"spam.csv","average","sortrows>sort_back_to_front",1,0.01,0.01
"spam.csv","average","sparfun/private/iterapp",7102.6,4.8925,2.0531
"spam.csv","average","sparfun/private/iterchk",400,0.2935,0.066
"spam.csv","average","sparfun/private/itermsg",200,0.2518,0.1156
"spam.csv","average","sparfun/private/itermsg>getIterationInfo",200,0.1117,0.0671
"spam.csv","average","splitforest (MEX-file)",2,0,0
"spam.csv","average","steiner_group",2,0.003,0.002
"spam.csv","average","unique",7,0.0443,0.007
"spam.csv","average","unique>uniquelegacy",7,0.0375,0.027
"spam.csv","average","update_groups (MEX-file)",2,0,0
"testCD.txt","average","...-4.0.1/private/get_matlab_bgl_options",2,0,0
"testCD.txt","average","...aly>TopN_Outlier_Pruning_Block_CTD_ST",1,32.2548,0.003
"testCD.txt","average","...ce_anomaly>TopN_Outlier_Pruning_Block",1,28.2242,22.8512
"testCD.txt","average","...d>create@(b)mx_d_preconditioner(sH,b)",1,0,0
"testCD.txt","average","...istance_anomaly>knn_components_sparse",1,1.3759,0.7597
"testCD.txt","average","...stance_anomaly>connect_components_MST",1,0.005,0.001
"testCD.txt","average","...stance_anomaly>connect_components_mix",1,0.0069,0.002
"testCD.txt","average","PCADR",1,0,0
"testCD.txt","average","adjacency_cmg (MEX-file)",1,0,0
"testCD.txt","average","approx_resistance",1,4.0274,0.0624
"testCD.txt","average","axescheck",2,0.001,0.001
"testCD.txt","average","axis",1,0.002,0.001
"testCD.txt","average","axis>LocSetEqual",1,0.001,0.001
"testCD.txt","average","axis>allAxes",1,0,0
"testCD.txt","average","cell.ismember",1,0.0173,0.004
"testCD.txt","average","cell.ismember>cellismemberlegacy",1,0.0136,0.0069
"testCD.txt","average","cell.strcat",1,0.002,0.001
"testCD.txt","average","cellstr",1,0.001,0.001
"testCD.txt","average","cholGsparse",1,0.0452,0.0452
"testCD.txt","average","cmg_dd",1,0.0596,0.001
"testCD.txt","average","cmg_dd>@(b)mx_d_preconditioner(sH,b)",2181.3,0.5347,0.2355
"testCD.txt","average","cmg_sdd",1,0.0606,0.001
"testCD.txt","average","commute_distance_anomaly",1,37.044,0.0049
"testCD.txt","average","commute_distance_anomaly>dist",280878,5.452,5.452
"testCD.txt","average","commute_distance_anomaly>drawGraph",1,3.3461,0.8527
"testCD.txt","average","commute_distance_anomaly>euclidean",1,0.003,0.001
"testCD.txt","average","commute_distance_anomaly>sim",6400,0.5982,0.4863
"testCD.txt","average","commute_distance_anomaly>sim_d",8,0.001,0.001
"testCD.txt","average","components",1,0,0
"testCD.txt","average","csvread",1,0.0297,0
"testCD.txt","average","csvwrite",1,0.024,0
"testCD.txt","average","dlmread",1,0.0297,0.002
"testCD.txt","average","dlmwrite",1,0.024,0.007
"testCD.txt","average","dlmwrite>parseinput",1,0.0173,0
"testCD.txt","average","dlmwrite>setcoffset",1,0,0
"testCD.txt","average","dlmwrite>setdlm",1,0,0
"testCD.txt","average","dlmwrite>setroffset",1,0,0
"testCD.txt","average","effective_degrees",1,0,0
"testCD.txt","average","fcnchk",400,0.2721,0.2134
"testCD.txt","average","forest_components (MEX-file)",1,0,0
"testCD.txt","average","graph2d/private/lineseriesmex (MEX-file)",2691,0.0232,0.0232
"testCD.txt","average","graph2dhelper",2691,0.453,0.2575
"testCD.txt","average","graphprofile (MEX-file)",1,0,0
"testCD.txt","average","hierarchy",1,0.0529,0.0049
"testCD.txt","average","hold",2,0.002,0.001
"testCD.txt","average","initprintexporttemplate",1,0,0
"testCD.txt","average","int2str",2,0.001,0.001
"testCD.txt","average","inv_permutation",1,0,0
"testCD.txt","average","iscellstr",2,0.001,0.001
"testCD.txt","average","ismember",2,0.006,0
"testCD.txt","average","ismember>ismemberlegacy",2,0.006,0
"testCD.txt","average","kdtree_build (MEX-file)",1,0.002,0.002
"testCD.txt","average","kdtree_k_nearest_neighbors (MEX-file)",640,0.0134,0.0134
"testCD.txt","average","laplacian2 (MEX-file)",1,0,0
"testCD.txt","average","lineseries",2691,0.9116,0.4356
"testCD.txt","average","matlab_bgl-4.0.1/...ate/check_matlab_bgl",2,0,0
"testCD.txt","average","matlab_bgl-4.0.1/private/components_mex (MEX-file)",1,0,0
"testCD.txt","average","matlab_bgl-4.0.1/private/merge_options",1,0,0
"testCD.txt","average","matlab_bgl-4.0.1/private/mst_mex (MEX-file)",1,0,0
"testCD.txt","average","mean",664,0.0346,0.0346
"testCD.txt","average","message",600,0.1559,0.1559
"testCD.txt","average","mst",1,0,0
"testCD.txt","average","mx_d_preconditioner (MEX-file)",2181.3,0.2992,0.2992
"testCD.txt","average","newplot",2691,1.575,0.7992
"testCD.txt","average","newplot>ObserveAxesNextPlot",2691,0.4856,0.4856
"testCD.txt","average","newplot>ObserveFigureNextPlot",2691,0.2905,0.2905
"testCD.txt","average","num2str",2,0.002,0.001
"testCD.txt","average","num2str>convertUsingRecycledSprintf",2,0.001,0.001
"testCD.txt","average","num2str>handleNumericPrecision",2,0.001,0
